date,eurjpy
2026-05-17,184.483
2026-05-28,185.586
2026-05-29,185.7889
2026-05-30,185.8659
2026-06-07,184.732
2026-06-10,185.171
2026-06-14,185.596
2026-06-15,185.71
2026-06-17,184.806
2026-06-18,184.815
2026-06-19,185.1647
2026-06-22,184.622
2026-06-24,183.67
2026-06-26,184.25
2026-06-27,184.2972
